Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Brazil,BRA,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,61.779,58.372,56.558,54.287,50.958,47.46,45.67,42.881,42.686,..
Brazil,BRA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,4.31914942942436,4.89135358845478,4.60059169575972,4.42039930378329,4.2050140943502,5.71148511544041,6.55876261159667,5.76747490819457,6.24138467625666,..
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,1.1280692457163,1.17134781840664,1.16021904257198,1.17470411588059,1.19130895601484,1.18689277512807,1.18901254195372,..,..,..
Brazil,BRA,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,98.2,98.6,98.7,98.8,98.4,98.4,..,..,..,..
Brazil,BRA,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2628.0976910972,2592.61337303819,2610.16613569938,2640.41643831267,2661.18328561313,2624.84323723758,2723.96659104663,2787.76089640442,2916.48609397384,..
Brazil,BRA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,1477.71135638764,1411.50090973164,1428.63671291905,1400.2173612336,1412.60729823853,1375.83163242979,1426.92356611297,1428.99253421834,1477.28505055306,..
Brazil,BRA,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,12.9001914177405,12.4666790443888,12.5189678700669,14.6349994952986,14.1229191903622,16.4535520107044,19.1094303673866,19.6307650034371,18.1102794216442,..
Brazil,BRA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,543397356309.8,543257228545.3,543000470110.9,557765380774.6,568708887352.2,549325935898.2,571530916149.8,579468087189.4,607115489833,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.777,1.727,1.74,1.744,1.705,1.653,1.638,1.629,1.619,..
Brazil,BRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,64738153494.44,74294627801.19,68885491315.23,78183840044.98,69174411753.45,38270116307.45,46440503520.19,74606361830.23,62441880089.59,71069841874.2
Brazil,BRA,Forest area (sq. km),AG.LND.FRST.K2,5038848,5020821,5000916,4990514,4977985,4966196,4953913.667,4941960.222,..,..
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1802212206904.68,1795693482652.52,2063514977334.32,1916933898038.36,1873288205186.45,1476107231194.11,1670647399034.67,1951923942083.32,2173665655937.27,..
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.54576339269425,-3.27591690782192,1.32286905404399,1.783666761634,1.22077782360842,-3.2767587964736,4.76260437908608,3.01669435393015,2.90848048667777,..
Brazil,BRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,10330,9050,8830,9320,9410,8080,8060,8450,9280,..
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14540,14010,14290,15030,15640,15770,17510,19330,20470,..
Brazil,BRA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2084247076853.44,1839991782313.57,1808496550031.44,1920050002129.84,1953066789009.92,1686362765402.33,1689214340414.81,1776651444579.34,1959785256812.05,..
Brazil,BRA,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2932875379050,2846197824606.73,2924570810530.11,3098565570921.3,3244270827745.74,3289682051501.6,3669595695972.21,4064426514693.09,4321585160962.08,..
Brazil,BRA,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,17.4116258666294,14.9695469737745,14.6255875981079,15.0950416289449,15.5167907998924,16.1158206052173,19.521885019122,18.0882204442366,16.0859873495074,..
Brazil,BRA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,14.4858996246715,16.0001642772964,14.3118892236086,14.7442418256611,14.0668052120423,11.3500942678804,9.00155420026002,9.11134627987528,9.849149349554,11.1103644206652
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,95,87,92,91,79,73,81,87,..
Brazil,BRA,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,14.0534345182709,12.0670030360511,11.8007665046081,14.2412038806757,14.7673386775793,15.8485265356365,18.5469003894967,19.1853009729027,15.7436671722105,..
Brazil,BRA,Income share held by lowest 20%,SI.DST.FRST.20,3.6,3.3,3.2,3.1,3.1,4.5,3.3,3.6,3.7,..
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,19.3600439808819,18.3547582787182,18.1885023093992,18.7490514525621,18.7546275712259,19.5061183910265,22.1234751937997,22.819456851691,22.2631820393204,..
Brazil,BRA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.56617501207116,8.10360435870246,3.67138451275035,4.49353433137021,4.22425886899158,6.47249960755747,13.047270877833,8.5702819532232,4.65899475870381,..
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872,75.848,..
Brazil,BRA,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,20.3772895662905,18.0862715790592,18.4560327491288,22.1567368825099,22.1156039339267,25.4396152301364,30.8566008780709,32.0904409488135,27.2537774326916,..
Brazil,BRA,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.36551715396161,1.34797541299482,1.41402166797586,1.46967772350671,1.38279724638797,1.32666026860555,1.16368211072875,1.06984583971521,1.07876906016448,..
Brazil,BRA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,125.6477067,117.9869738,106.1217992,99.64002652,95.38505233,96.54706819,102.48887,98.89102076,..,..
Brazil,BRA,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,16,16.8,15.4,15.2,15,14.9,14.7,14.6,14.4,..
Brazil,BRA,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,100,102.3710937208,108.2356937329,106.8817981416,107.0374943851,107.6735521872,123.2309620465,..,..,..
Brazil,BRA,Net migration,SM.POP.NETM,-173611,-92989,-156296,-230334,-129216,-78437,-208581,-253639,-240059,-225510
Brazil,BRA,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1003190002.44141,674630004.882813,273869995.117188,444970001.220703,272500000,612539978.027344,1114540039.0625,577010009.765625,..,..
Brazil,BRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2896909951.71,2739786526.59,2698770651.24,2933489276.49,3213621676.71,3566219438.48,4102018147.7,4973758734.57,4433700953.4,4902400448.25
Brazil,BRA,Population density (people per sq. km of land area),EN.POP.DNST,24.1292359304821,24.3137963709629,24.4915070817191,24.659465024515,24.8207686159839,24.9649852718428,25.0714027283582,25.161867951482,..,..
